title,time,genre,rating,description,votes,directors,stars,year,gross
Le Mans,106,Action,6.7,"Two car racing champions, an American and a German, face off on the world's hardest endurance course: Le Mans in France.",10480,['Lee H. Katzin'],"['Steve McQueen', 'Siegfried Rauch', 'Elga Andersen', 'Ronald Leigh-Hunt']",1971,710000.0
Le Petit Nicolas,91,Comedy,7.1,"Nicholas has every reason to keep things in life unchanged; however, when he accidentally overhears mum and dad talking about a new baby brother, his world will turn upside down. Will they abandon him to make room for the little stranger?",13163,['Laurent Tirard'],"['Maxime Godart', 'Vincent Claude', 'Charles Vaillant', 'Victor Carles']",2009,
Le Petit Prince,108,Animation,7.7,"A little girl lives in a very grown-up world with her mother, who tries to prepare her for it. Her neighbor, the Aviator, introduces the girl to an extraordinary world where anything is possible, the world of the Little Prince.",61199,['Mark Osborne'],"['Jeff Bridges', 'Mackenzie Foy', 'Rachel McAdams', 'Marion Cotillard']",2015,1340000.0
Le Samouraï,105,Crime,8.0,After professional hitman Jef Costello is seen by witnesses his efforts to provide himself an alibi drive him further into a corner.,50445,['Jean-Pierre Melville'],"['Alain Delon', 'François Périer', 'Nathalie Delon', 'Cathy Rosier']",1967,40000.0
Le cercle rouge,140,Crime,7.9,"After leaving prison, master thief Corey crosses paths with a notorious escapee and an alcoholic former policeman. The trio proceed to plot an elaborate heist.",25027,['Jean-Pierre Melville'],"['Alain Delon', 'Bourvil', 'Gian Maria Volontè', 'Yves Montand']",1970,370000.0
Le chant du loup,115,Action,6.9,"In the near future, a French submarine finds itself in a crisis situation.",17258,['Antonin Baudry'],"['François Civil', 'Omar Sy', 'Mathieu Kassovitz', 'Reda Kateb']",2019,
Le charme discret de la bourgeoisie,102,Comedy,7.8,"A surreal, virtually plotless series of dreams centered around six middle-class people and their consistently interrupted attempts to have a meal together.",42370,['Luis Buñuel'],"['Fernando Rey', 'Delphine Seyrig', 'Paul Frankeur', 'Bulle Ogier']",1972,200000.0
Le concert,119,Comedy,7.5,"Thirty years ago Bolshoi Orchestra conductor Andreï Filipov was fired for hiring Jewish musicians. Now a lowly janitor, an opportunity arises to gather his old musicians to go and pose as the official Buolshoi orchestra in Paris.",18034,['Radu Mihaileanu'],"['Aleksey Guskov', 'Mélanie Laurent', 'Dmitriy Nazarov', 'François Berléand']",2009,660000.0
Le conseguenze dell'amore,100,Crime,7.5,An introverted man's life changes completely when he finds himself attracted to a young barmaid.,17187,['Paolo Sorrentino'],"['Toni Servillo', 'Olivia Magnani', 'Adriano Giannini', 'Antonio Ballerio']",2004,
Le dernier métro,131,Drama,7.4,"In occupied Paris, an actress married to a Jewish theater owner must keep him hidden from the Nazis while doing both of their jobs.",14018,['François Truffaut'],"['Catherine Deneuve', 'Gérard Depardieu', 'Jean Poiret', 'Andréa Ferréol']",1980,
